name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"New York City,USA",2017-06-01T00:00:00,20.4,20.4,16.2,76.8,0,0,,0,0,30.2,20.8,40,1014.2,5.1,15.6,0,0,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KNYC,72503014732"
"New York City,USA",2017-06-01T01:00:00,18.2,18.2,14.9,80.88,0,0,,0,0,,17.2,43,1014.6,3.6,16,0,0,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KNYC,72503014732"
"New York City,USA",2017-06-01T02:00:00,17.7,17.7,13.3,75.28,0,0,,0,0,,14,33,1014.2,0.8,16,0,0,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KNYC,72503014732"
"New York City,USA",2017-06-01T03:00:00,17,17,13.8,81.41,0,0,,0,0,,5,56,1014.8,1.9,16,0,0,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KNYC,72503014732"
"New York City,USA",2017-06-01T04:00:00,17,17,13.9,81.83,0,0,,0,0,,10.5,43,1014.2,51.9,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,72055399999,KLGA,KNYC,72503014732"
"New York City,USA",2017-06-01T05:00:00,16.5,16.5,13.9,84.32,0,0,,0,0,,6.7,28,1014.2,27.1,16,6,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,72055399999,KLGA,KNYC,72503014732"
"New York City,USA",2017-06-01T06:00:00,16.5,16.5,13.9,84.23,0,0,,0,0,,5,41,1014.5,1,15.8,109.5,0.4,1,,Clear,clear-day,"72505394728,72055399999,KLGA,KNYC,72503014732"
"New York City,USA",2017-06-01T07:00:00,16.7,16.7,14.4,86.18,0,0,,0,0,,4.8,159,1014.8,1.5,16,288.4,1,3,,Clear,clear-day,"72505394728,72055399999,KLGA,KNYC,72503014732"
"New York City,USA",2017-06-01T08:00:00,16.8,16.8,15.6,92.63,0,0,,0,0,,10.2,235,1015.1,28.3,8.9,483.3,1.7,5,,Partially cloudy,partly-cloudy-day,"72505394728,72055399999,KLGA,KNYC,72503014732"
"New York City,USA",2017-06-01T09:00:00,19,19,15.6,81,0,0,,0,0,,6.9,260,1014.3,79,11.8,664.8,2.4,7,,Partially cloudy,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
"New York City,USA",2017-06-01T10:00:00,19.5,19.5,16,80.16,0,0,,0,0,,5.2,69,1014.5,33.8,13.3,804.5,2.9,8,,Partially cloudy,partly-cloudy-day,"72505394728,72055399999,KLGA,KNYC,72503014732"
"New York City,USA",2017-06-01T11:00:00,23.2,23.2,15.4,61.54,0,0,,0,0,,9.4,245,1014.1,0.8,16,916.3,3.3,9,,Clear,clear-day,"72505394728,72055399999,KLGA,KNYC,72503014732"
"New York City,USA",2017-06-01T12:00:00,24.9,24.9,14.3,51.67,0.178,100,rain,0,0,57.2,7,247,1013.8,1.4,11.5,970.8,3.5,10,,Rain,rain,"72505394728,72055399999,KLGA,KNYC,72503014732"
"New York City,USA",2017-06-01T13:00:00,25.5,25.5,11.2,40.85,0.624,100,rain,0,0,73,17.4,249,1013.1,8.9,16,960.3,3.5,10,,Rain,rain,"72505394728,72055399999,KLGA,KNYC,72503014732"
"New York City,USA",2017-06-01T14:00:00,25.1,25.1,10.4,39.64,0,0,,0,0,33.5,27.9,255,1012.4,48.2,16,884.3,3.2,9,,Partially cloudy,partly-cloudy-day,"72505394728,72055399999,KLGA,KNYC,72503014732"
"New York City,USA",2017-06-01T15:00:00,26.1,26.1,9.8,35.95,0,0,,0,0,,22.3,256,1012.1,33.5,14.2,724.5,2.6,7,,Partially cloudy,partly-cloudy-day,"72505394728,72055399999,KLGA,KNYC,72503014732"
"New York City,USA",2017-06-01T16:00:00,25.7,25.7,9.2,35.19,2.409,100,rain,0,0,76.4,23.6,262,1011.8,31.7,16,516.3,1.9,5,,"Rain, Partially cloudy",rain,"72505394728,72055399999,KLGA,KNYC,72503014732"
"New York City,USA",2017-06-01T17:00:00,26.5,26.5,8.2,31.54,0,0,,0,0,29.7,20.4,271,1011.8,46.1,16,388.3,1.4,4,,Partially cloudy,partly-cloudy-day,"72505394728,72055399999,KLGA,KNYC,72503014732"
"New York City,USA",2017-06-01T18:00:00,26.1,26.1,8.8,33.69,0,0,,0,0,37.1,18,270,1011.8,35.2,16,244.3,0.9,2,,Partially cloudy,partly-cloudy-day,"72505394728,72055399999,KLGA,KNYC,72503014732"
"New York City,USA",2017-06-01T19:00:00,25,25,8.4,35.02,0,0,,0,0,,17.9,274,1012.2,33.2,16,82.8,0.3,1,,Partially cloudy,partly-cloudy-day,"72505394728,72055399999,KLGA,KNYC,72503014732"
"New York City,USA",2017-06-01T20:00:00,23.8,23.8,8.2,36.87,0,0,,0,0,,0.6,280,1012.4,27.5,16,1.9,0,0,,Partially cloudy,partly-cloudy-day,"72505394728,72055399999,KLGA,KNYC,72503014732"
"New York City,USA",2017-06-01T21:00:00,22.8,22.8,8.2,39.14,0,0,,0,0,,15.8,270,1013.1,0.8,16,0,0,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KNYC,72503014732"
"New York City,USA",2017-06-01T22:00:00,22.2,22.2,8.1,40.59,0,0,,0,0,,14.1,269,1013.8,0.8,16,0,0,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KNYC,72503014732"
"New York City,USA",2017-06-01T23:00:00,21.3,21.3,8.6,44.22,0,0,,0,0,27.7,12.6,259,1014.1,0.8,16,0,0,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KNYC,72503014732"
"New York City,USA",2017-06-02T00:00:00,20.7,20.7,8.7,45.88,0,0,,0,0,,11.1,267,1013.8,0,16,0,0,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KNYC,72503014732"
"New York City,USA",2017-06-02T01:00:00,20,20,7.8,45.21,0,0,,0,0,44.6,5.9,185,1014.6,0.8,16,0,0,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KNYC,72503014732"
"New York City,USA",2017-06-02T02:00:00,18.4,18.4,9.1,54.91,0,0,,0,0,,12.7,53,1014.9,0,16,0,0,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KNYC,72503014732"
"New York City,USA",2017-06-02T03:00:00,17.8,17.8,8.3,53.73,0,0,,0,0,,7.5,20,1015.2,0.8,16,0,0,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KNYC,72503014732"
"New York City,USA",2017-06-02T04:00:00,17.1,17.1,7.7,54.25,0,0,,0,0,,5.2,203,1015.6,0.8,16,0,0,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KNYC,72503014732"
"New York City,USA",2017-06-02T05:00:00,16.5,16.5,8.2,57.84,0,0,,0,0,,6.9,56,1015.5,1.4,16,6.6,0,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KNYC,72503014732"
"New York City,USA",2017-06-02T06:00:00,16.4,16.4,7.8,56.65,0,0,,0,0,,4.8,93,1015.6,0.8,16,118.5,0.4,1,,Clear,clear-day,"72505394728,72055399999,KLGA,KNYC,72503014732"
"New York City,USA",2017-06-02T07:00:00,16.1,16.1,7.1,55.04,0,0,,0,0,,8.4,276,1015.8,0.8,16,307.1,1.1,3,,Clear,clear-day,"72505394728,72055399999,KLGA,KNYC,72503014732"
